YEAR,MONTH,DAY,TEAM HOME,TEAM AWAY,GAME TYPE
2024,10,4,Buffalo Sabres,New Jersey Devils,Regular
2024,10,5,New Jersey Devils,Buffalo Sabres,Regular
2024,10,8,Seattle Kraken,St. Louis Blues,Regular
2024,10,8,Florida Panthers,Boston Bruins,Regular
2024,10,8,Utah Hockey Club,Chicago Blackhawks,Regular
2024,10,9,Montreal Canadiens,Toronto Maple Leafs,Regular
2024,10,9,Pittsburgh Penguins,New York Rangers,Regular
2024,10,9,Vancouver Canucks,Calgary Flames,Regular
2024,10,9,Vegas Golden Knights,Colorado Avalanche,Regular
2024,10,9,Edmonton Oilers,Winnipeg Jets,Regular
2024,10,10,New Jersey Devils,Toronto Maple Leafs,Regular
2024,10,10,Ottawa Senators,Florida Panthers,Regular
2024,10,10,Buffalo Sabres,Los Angeles Kings,Regular
2024,10,10,Detroit Red Wings,Pittsburgh Penguins,Regular
2024,10,10,Boston Bruins,Montreal Canadiens,Regular
2024,10,10,New York Islanders,Utah Hockey Club,Regular
2024,10,10,Nashville Predators,Dallas Stars,Regular
2024,10,10,Minnesota Wild,Columbus Blue Jackets,Regular
2024,10,10,San Jose Sharks,St. Louis Blues,Regular
2024,10,11,Carolina Hurricanes,Tampa Bay Lightning,Regular
2024,10,11,Winnipeg Jets,Chicago Blackhawks,Regular
2024,10,11,Vancouver Canucks,Philadelphia Flyers,Regular
2024,10,11,Vegas Golden Knights,St. Louis Blues,Regular
2024,10,12,Boston Bruins,Los Angeles Kings,Regular
2024,10,12,Washington Capitals,New Jersey Devils,Regular
2024,10,12,Tampa Bay Lightning,Carolina Hurricanes,Regular
2024,10,12,Toronto Maple Leafs,Pittsburgh Penguins,Regular
2024,10,12,Buffalo Sabres,Florida Panthers,Regular
2024,10,12,Detroit Red Wings,Nashville Predators,Regular
2024,10,12,Montreal Canadiens,Ottawa Senators,Regular
2024,10,12,New York Rangers,Utah Hockey Club,Regular
2024,10,12,Dallas Stars,New York Islanders,Regular
2024,10,12,Minnesota Wild,Seattle Kraken,Regular
2024,10,12,Colorado Avalanche,Columbus Blue Jackets,Regular
2024,10,12,San Jose Sharks,Anaheim Ducks,Regular
2024,10,12,Calgary Flames,Philadelphia Flyers,Regular
2024,10,12,Edmonton Oilers,Chicago Blackhawks,Regular
2024,10,13,Winnipeg Jets,Minnesota Wild,Regular
2024,10,13,Edmonton Oilers,Calgary Flames,Regular
2024,10,13,Dallas Stars,Seattle Kraken,Regular
2024,10,13,Vegas Golden Knights,Anaheim Ducks,Regular
2024,10,14,Ottawa Senators,Los Angeles Kings,Regular
2024,10,14,Boston Bruins,Florida Panthers,Regular
2024,10,14,New York Rangers,Detroit Red Wings,Regular
2024,10,14,Montreal Canadiens,Pittsburgh Penguins,Regular
2024,10,14,Colorado Avalanche,New York Islanders,Regular
2024,10,14,New Jersey Devils,Utah Hockey Club,Regular
2024,10,15,Washington Capitals,Vegas Golden Knights,Regular
2024,10,15,Carolina Hurricanes,New Jersey Devils,Regular
2024,10,15,Columbus Blue Jackets,Florida Panthers,Regular
2024,10,15,Tampa Bay Lightning,Vancouver Canucks,Regular
2024,10,15,St. Louis Blues,Minnesota Wild,Regular
2024,10,15,Dallas Stars,San Jose Sharks,Regular
2024,10,15,Nashville Predators,Seattle Kraken,Regular
2024,10,15,Calgary Flames,Chicago Blackhawks,Regular
2024,10,15,Edmonton Oilers,Philadelphia Flyers,Regular
2024,10,16,Pittsburgh Penguins,Buffalo Sabres,Regular
2024,10,16,Toronto Maple Leafs,Los Angeles Kings,Regular
2024,10,16,Colorado Avalanche,Boston Bruins,Regular
2024,10,16,Anaheim Ducks,Utah Hockey Club,Regular
2024,10,17,Washington Capitals,Dallas Stars,Regular
2024,10,17,St. Louis Blues,New York Islanders,Regular
2024,10,17,Ottawa Senators,New Jersey Devils,Regular
2024,10,17,Columbus Blue Jackets,Buffalo Sabres,Regular
2024,10,17,Detroit Red Wings,New York Rangers,Regular
2024,10,17,Florida Panthers,Vancouver Canucks,Regular
2024,10,17,Montreal Canadiens,Los Angeles Kings,Regular
2024,10,17,Tampa Bay Lightning,Vegas Golden Knights,Regular
2024,10,17,Nashville Predators,Edmonton Oilers,Regular
2024,10,17,Chicago Blackhawks,San Jose Sharks,Regular
2024,10,17,Seattle Kraken,Philadelphia Flyers,Regular
2024,10,18,Winnipeg Jets,San Jose Sharks,Regular
2024,10,18,Pittsburgh Penguins,Carolina Hurricanes,Regular
2024,10,18,Colorado Avalanche,Anaheim Ducks,Regular
2024,10,19,Ottawa Senators,Tampa Bay Lightning,Regular
2024,10,19,Nashville Predators,Detroit Red Wings,Regular
2024,10,19,Dallas Stars,Edmonton Oilers,Regular
2024,10,19,Florida Panthers,Vegas Golden Knights,Regular
2024,10,19,Philadelphia Flyers,Vancouver Canucks,Regular
2024,10,19,New York Islanders,Montreal Canadiens,Regular
2024,10,19,Columbus Blue Jackets,Minnesota Wild,Regular
2024,10,19,Toronto Maple Leafs,New York Rangers,Regular
2024,10,19,Chicago Blackhawks,Buffalo Sabres,Regular
2024,10,19,St. Louis Blues,Carolina Hurricanes,Regular
2024,10,19,Utah Hockey Club,Boston Bruins,Regular
2024,10,19,Seattle Kraken,Calgary Flames,Regular
2024,10,19,New Jersey Devils,Washington Capitals,Regular
2024,10,20,Winnipeg Jets,Pittsburgh Penguins,Regular
2024,10,20,San Jose Sharks,Colorado Avalanche,Regular
2024,10,20,Anaheim Ducks,Los Angeles Kings,Regular
2024,10,21,Toronto Maple Leafs,Tampa Bay Lightning,Regular
2024,10,22,Philadelphia Flyers,Washington Capitals,Regular
2024,10,22,Florida Panthers,Minnesota Wild,Regular
2024,10,22,Buffalo Sabres,Dallas Stars,Regular
2024,10,22,Montreal Canadiens,New York Rangers,Regular
2024,10,22,Columbus Blue Jackets,Toronto Maple Leafs,Regular
2024,10,22,New York Islanders,Detroit Red Wings,Regular
2024,10,22,St. Louis Blues,Winnipeg Jets,Regular
2024,10,22,Nashville Predators,Boston Bruins,Regular
2024,10,22,Chicago Blackhawks,Vancouver Canucks,Regular
2024,10,22,Calgary Flames,Pittsburgh Penguins,Regular
2024,10,22,Edmonton Oilers,Carolina Hurricanes,Regular
2024,10,22,Utah Hockey Club,Ottawa Senators,Regular
2024,10,22,Anaheim Ducks,San Jose Sharks,Regular
